pasture_id,week_start,week_end,week_of_year,ndvi_raw,ndvi_smooth,baseline_p10,baseline_p30,baseline_p50,baseline_p70,status,emoji
pasture_001,2025-06-16,2025-06-23,26,,,0.217,0.221,0.2621,0.3035,no_data,⚪️
pasture_001,2025-06-23,2025-06-30,27,0.1642,,0.2445,0.2872,0.3016,0.321,no_data,⚪️
pasture_001,2025-06-30,2025-07-07,28,,,0.2445,0.2872,0.3016,0.321,no_data,⚪️
pasture_001,2025-07-07,2025-07-14,29,,,0.2445,0.2872,0.3016,0.321,no_data,⚪️
pasture_001,2025-07-14,2025-07-21,30,0.2915,0.2278,0.1977,0.298,0.4036,0.4213,mild_low,🟡
pasture_001,2025-07-21,2025-07-28,31,,,0.1977,0.298,0.4036,0.4213,no_data,⚪️
pasture_001,2025-07-28,2025-08-04,32,0.4635,0.3775,0.2702,0.3888,0.4201,0.44,mild_low,🟡
pasture_001,2025-08-04,2025-08-11,33,0.5094,0.4215,0.2702,0.3888,0.4201,0.44,normal,🟢
pasture_001,2025-08-11,2025-08-18,34,0.5322,0.5017,0.2607,0.3256,0.3905,0.4058,normal,🟢
pasture_001,2025-08-18,2025-08-25,35,,0.5017,0.3923,0.4469,0.5014,0.5162,normal,🟢
pasture_001,2025-08-25,2025-09-01,36,0.4883,0.51,0.3923,0.4469,0.5014,0.5162,normal,🟢
pasture_001,2025-09-01,2025-09-08,37,,0.5102,0.3358,0.3551,0.4156,0.4349,normal,🟢
pasture_001,2025-09-08,2025-09-15,38,0.4013,0.4448,0.3358,0.3551,0.4156,0.4349,normal,🟢
pasture_001,2025-09-15,2025-09-22,39,,0.4448,0.2635,0.2842,0.3232,0.3598,normal,🟢
pasture_001,2025-09-22,2025-09-29,40,,,0.2635,0.2842,0.3232,0.3598,no_data,⚪️
pasture_001,2025-09-29,2025-10-06,41,0.3034,0.3524,0.2039,0.2055,0.2222,0.2472,normal,🟢
pasture_001,2025-10-06,2025-10-13,42,,,0.2039,0.2055,0.2222,0.2472,no_data,⚪️
pasture_001,2025-10-13,2025-10-20,43,0.254,0.2787,0.1969,0.2059,0.2187,0.2302,normal,🟢
pasture_001,2025-10-20,2025-10-27,44,,0.2787,0.1969,0.2059,0.2187,0.2302,normal,🟢
pasture_001,2025-10-27,2025-11-03,45,0.1996,0.2268,0.1969,0.2059,0.2187,0.2302,normal,🟢
pasture_001,2025-11-03,2025-11-10,46,,0.2268,0.1583,0.1723,0.182,0.1876,normal,🟢
pasture_001,2025-11-10,2025-11-17,47,0.1562,0.1779,0.1583,0.1723,0.182,0.1876,normal,🟢
pasture_001,2025-11-17,2025-11-24,48,,0.1779,0.1434,0.1447,0.1588,0.1731,normal,🟢
pasture_001,2025-11-24,2025-12-01,49,,,0.1434,0.1447,0.1588,0.1731,no_data,⚪️
pasture_001,2025-12-01,2025-12-08,50,0.1462,0.1512,0.1468,0.1476,0.1484,0.1513,normal,🟢
pasture_001,2025-12-08,2025-12-15,51,,,0.15,0.1522,0.1543,0.1661,no_data,⚪️
pasture_001,2025-12-15,2025-12-22,52,0.1323,0.1393,0.1457,0.1471,0.1485,0.1549,severe_low,🔴
